,Company UUID,Company,Domain,Location,Tagline,Investors
0,df037313-77bb-4329-a60b-ac5904b392f3,100ms,https://100ms.live/,"San Francisco, CA",Live video infrastructure startup,"[' matrix partners india', ' localglobe', ' strive.vc', ' accel', 'alpha wave incubation']"
1,ca38d2f4-157d-4146-a67e-9df8d5e3d72b,11x,https://www.11x.com/,"San Francisco, CA",AI autonomous digital workers developer,"[' sv angel', ' quiet capital', 'benchmark', ' abstract ventures']"
2,3d73bd59-77ff-4b15-9fa3-e2209e6ec0ce,1build,https://www.1build.com/,"Los Angeles, CA",Construction-cost estimation software maker,['greycroft capital']
3,32957090-4dfe-4904-a56d-ccdf18b362e9,1komma5,https://1komma5.de/,Hamburg,"Solar, energy storage, EV charging, and heat pumps for homeowners","['porsche ventures', '2150', ' california state teachers’ retirement system (calstrs)', 'g2 venture partners']"
4,a5dcbe42-0f73-4697-b9bf-ad1b08e1637b,1mt nation,,"Tallinn, Estonia",Developer of nature-based carbon removal projects,"[' warmeston', 'margus kohava']"
5,2c529bc6-e779-421a-b3af-01b3f6cb32ea,1pointfive,https://1pointfive.com/,"Houston, TX",Direct Air Capture (DAC) developer,['us department of energy’s office of clean energy demonstrations']
6,a90d5af0-77c3-4a67-8518-e6bdf5d27d94,1s1 energy,https://www.swellenergy.com/,"Portola Valley, CA",Developing green hydrogen production,"[' elohim partners', ' asiri', ' ecoa capital', 'ampol', ' autostrada', 'faber', 'bdc capital', ' aquarius capital management', ' imm investment', 'faber ventures', 'gm ventures', 'general motors', 'the global emerging markets group', ' aligned climate capital', ' gibson lane', 'park west', ' csn inova ventures', 'ares management']"
7,4a7accf2-0d3a-432c-8cd7-ba3333204696,2150,https://www.2150.vc/,"London, U.K.",Urban tech solutions fund,[]
8,01216c3e-14dd-4b36-b7d4-81fce725d8e9,24m,https://24-m.com/,"Cambridge, MA",Revolutionizing the lithium-ion cell manufacturing process,"['itochu corporation', ' fujifilm corporation', ' mirai creation fund ii', ' kyocera corporation', ' global power synergy public company ltd (gpsc)', ' north bridge venture partners']"
9,edaa870d-551f-4a8c-bd20-a14bb3a7341d,24m technologies,https://24-m.com/,"Cambridge, MA",Lithium ion cell manufacturer,"[' asahi kasei', ' dai nippon printing company (dnp)', ' lucas tvs', ' kyocera', 'nuovo+']"
10,38af1a43-6956-4c88-a073-fe52657babda,257,,"New York, New York",AI-powered home energy management software,['f2 venture capital']
11,d4899be4-5687-46ee-9e27-e89de9f345ce,280 earth,https://280.earth/,"Mountain View, CA",Direct air capture plants,"[' alphabet', 'builders vc']"
12,4851272b-17bb-42f1-bf7e-ea27a3cd42bc,3deo,https://www.3deo.co/,Los Angeles,Additive metal manufacturing,['mizuho bank']
13,a0d7fa97-543f-4fa1-9bc2-0e1c57ad6da2,3e nano,https://forgenano.com/,"Toronto, Canada",Energy and solar control coatings company,"[' vertuelab', ' rockcreek', ' top material', ' vectors capital', 'ascent hydrogen fund', ' hanwha solutions', ' oic', ' creative ventures', ' muus climate partners', ' act venture partners', ' orion infrastructure capital', 'energy foundry', ' new climate ventures', ' catalus capital']"
14,9ba5c0c0-3d25-4828-9a7a-f8241ab3d5e4,3v infrastructure,https://www.3vinfrastructure.com/,"New York, NY",Level 2 EV charging operator,['greenbacker capital management']
15,42a6a5d0-1882-4c26-8f71-be019623a5af,42watt,,"Munich, Germany",Retrofitting advisory platform,"[' proptech1', ' bonventure', 'contrarian ventures']"
